Date,Brooks 100SCCM [mLn/min],Brooks 2.5SLM [mLn/min],Bronkhorst 100SCCM [mLn/min], Bronkhorst 2.5SLM[mLn/min]
2024-12-13 12:23:07,17.55,1489.39,0.0,0.0
2024-12-13 12:23:12,17.55,1489.39,0.0,0.0
2024-12-13 12:23:17,17.55,1489.39,0.0,0.0
2024-12-13 12:23:22,17.55,1489.39,0.0,0.0
2024-12-13 12:23:27,17.55,1489.39,8.90243148803711,2254.821538925171
2024-12-13 12:23:32,17.65,1494.28,14.910919189453125,2248.6488819122314
2024-12-13 12:23:37,17.65,1499.16,14.996447563171387,2249.5830059051514
2024-12-13 12:23:42,16.23,1345.34,14.981864929199219,2249.8464584350586
2024-12-13 12:23:47,8.52,788.65,14.979107856750488,2250.058174133301
2024-12-13 12:23:52,7.00,676.33,14.983903884887695,2250.0884532928467
2024-12-13 12:23:57,5.68,585.99,14.989630699157715,2250.06103515625
2024-12-13 12:24:02,4.77,507.86,14.986239433288574,2250.0038146972656
2024-12-13 12:24:07,3.75,444.38,14.988204956054688,2250.0884532928467
2024-12-13 12:24:12,3.04,390.66,14.989225387573242,2250.0922679901123
2024-12-13 12:24:17,2.33,344.27,14.998152732849121,2249.964475631714
2024-12-13 12:24:22,1.83,305.20,15.004156112670898,2249.9783039093018
2024-12-13 12:24:27,1.42,273.46,15.002784729003906,2249.889135360718
2024-12-13 12:24:32,1.01,246.60,15.000422477722168,2249.9029636383057
2024-12-13 12:24:37,0.61,224.63,15.000916481018066,2249.884843826294
2024-12-13 12:24:42,0.41,202.66,15.007427215576172,2249.8621940612793
2024-12-13 12:24:47,0.20,188.01,15.008435249328613,2249.9234676361084
2024-12-13 12:24:52,0.00,173.36,15.006644248962402,2249.9043941497803
2024-12-13 12:24:57,0.00,158.71,15.007340431213379,2249.8626708984375
2024-12-13 12:25:03,0.00,151.38,14.998313903808594,2249.9074935913086
2024-12-13 12:25:08,0.00,144.06,15.005249977111816,2249.8559951782227
2024-12-13 12:25:13,2.54,532.28,15.001923561096191,2249.976634979248
2024-12-13 12:25:18,2.64,827.71,15.005325317382812,2249.8817443847656
2024-12-13 12:25:23,4.56,1081.64,14.998300552368164,2249.9020099639893
2024-12-13 12:25:28,6.19,1274.53,14.997401237487793,2250.037431716919
2024-12-13 12:25:33,7.71,1443.00,15.004839897155762,2250.0483989715576
2024-12-13 12:25:38,8.93,1567.53,14.998461723327637,2250.072240829468
2024-12-13 12:25:43,10.04,1684.72,14.999491691589355,2250.0810623168945
2024-12-13 12:25:48,10.85,1770.18,14.99459457397461,2250.0338554382324
2024-12-13 12:25:53,11.56,1853.20,14.991837501525879,2250.0929832458496
2024-12-13 12:25:58,11.97,1914.24,14.994701385498047,2250.138998031616
2024-12-13 12:26:03,12.07,1960.63,14.992557525634766,2250.230073928833
2024-12-13 12:26:08,12.27,2004.58,15.002737045288086,2250.1113414764404
2024-12-13 12:26:13,12.27,2028.99,14.9959135055542,2250.0998973846436
2024-12-13 12:26:18,12.27,2058.29,14.995697021484375,2250.080108642578
2024-12-13 12:26:23,12.48,2092.48,14.995610237121582,2250.093936920166
2024-12-13 12:26:28,12.48,2116.89,14.994531631469727,2250.123977661133
2024-12-13 12:26:33,12.48,2124.22,14.997811317443848,2249.9797344207764
2024-12-13 12:26:38,12.48,2131.54,14.99799633026123,2250.0200271606445
2024-12-13 12:26:43,12.58,2138.87,15.000301361083984,2250.0383853912354
2024-12-13 12:26:48,12.58,2148.63,15.004019737243652,2249.995231628418
2024-12-13 12:26:53,12.58,2158.40,15.003907203674316,2249.9465942382812
2024-12-13 12:26:58,12.58,2163.28,15.002303123474121,2249.8512268066406
2024-12-13 12:27:03,12.58,2170.61,15.008106231689453,2249.9470710754395
2024-12-13 12:27:08,12.68,2182.82,15.008723258972168,2249.7940063476562
2024-12-13 12:27:14,12.68,2185.26,15.00388240814209,2249.880790710449
2024-12-13 12:27:19,12.68,2187.70,15.00161361694336,2249.8862743377686
2024-12-13 12:27:24,12.78,2182.82,15.008460998535156,2249.838352203369
2024-12-13 12:27:29,12.68,2185.26,15.005220413208008,2249.9048709869385
2024-12-13 12:27:34,12.68,2204.79,15.00651741027832,2249.990463256836
2024-12-13 12:27:39,12.68,2195.03,15.003900527954102,2249.899387359619
2024-12-13 12:27:44,12.68,2195.03,15.012128829956055,2249.887466430664
2024-12-13 12:27:49,12.68,2190.14,15.001506805419922,2249.969720840454
2024-12-13 12:27:54,12.68,2192.58,15.004288673400879,2249.929189682007
2024-12-13 12:27:59,12.78,2207.23,15.001117706298828,2249.9728202819824
2024-12-13 12:28:04,12.68,2195.03,14.9954252243042,2250.027894973755
2024-12-13 12:28:09,12.68,2207.23,14.99590015411377,2250.1018047332764
2024-12-13 12:28:14,12.78,2197.47,14.998709678649902,2250.1657009124756
2024-12-13 12:28:19,12.68,2195.03,14.995675086975098,2250.046491622925
2024-12-13 12:28:24,12.68,2197.47,14.99791145324707,2250.0927448272705
2024-12-13 12:28:29,12.78,2207.23,14.997125625610352,2250.101089477539
2024-12-13 12:28:34,12.78,2207.23,14.993382453918457,2250.040054321289
2024-12-13 12:28:39,12.78,2209.67,14.994568824768066,2250.1375675201416
2024-12-13 12:28:44,12.68,2217.00,14.988439559936523,2250.150680541992
2024-12-13 12:28:49,12.68,2207.23,15.001288414001465,2250.1211166381836
2024-12-13 12:28:54,12.68,2199.91,14.9932861328125,2250.044107437134
2024-12-13 12:28:59,12.68,2202.35,14.991996765136719,2250.1118183135986
2024-12-13 12:29:04,12.68,2202.35,14.997225761413574,2250.1065731048584
2024-12-13 12:29:09,12.78,2212.12,14.99565601348877,2249.988794326782
2024-12-13 12:29:14,12.78,2207.23,14.996099472045898,2250.0030994415283
2024-12-13 12:29:20,12.78,2202.35,15.00388240814209,2249.9442100524902
2024-12-13 12:29:25,12.68,2204.79,15.005430221557617,2249.896764755249
2024-12-13 12:29:30,12.68,2204.79,15.005253791809082,2249.8230934143066
2024-12-13 12:29:35,12.68,2202.35,15.006723403930664,2249.840259552002
2024-12-13 12:29:40,12.78,2214.56,15.003701210021973,2249.901294708252
2024-12-13 12:29:45,12.68,2202.35,15.005864143371582,2249.8881816864014
2024-12-13 12:29:50,12.58,2202.35,15.01126480102539,2249.8080730438232
2024-12-13 12:29:55,12.68,2202.35,15.005736351013184,2249.950170516968
2024-12-13 12:30:00,12.68,2204.79,15.000091552734375,2249.938726425171
2024-12-13 12:30:05,12.58,2204.79,15.015534400939941,2249.851703643799
2024-12-13 12:30:10,12.68,2204.79,15.004937171936035,2249.835968017578
2024-12-13 12:30:15,12.68,2207.23,15.004727363586426,2249.896764755249
2024-12-13 12:30:20,12.68,2207.23,15.006638526916504,2249.951124191284
2024-12-13 12:30:25,12.68,2207.23,15.004093170166016,2250.0338554382324
2024-12-13 12:30:30,12.68,2207.23,14.99025821685791,2249.974250793457
2024-12-13 12:30:35,12.68,2207.23,15.002662658691406,2250.093460083008
2024-12-13 12:30:40,12.78,2207.23,14.994446754455566,2250.030994415283
2024-12-13 12:30:45,12.68,2209.67,14.9996976852417,2250.0391006469727
2024-12-13 12:30:50,12.68,2209.67,14.987380981445312,2250.0529289245605
2024-12-13 12:30:55,12.68,2209.67,14.993436813354492,2250.1673698425293
2024-12-13 12:31:00,12.78,2219.44,14.990540504455566,2250.1773834228516
2024-12-13 12:31:05,12.78,2217.00,14.994380950927734,2250.030040740967
2024-12-13 12:31:10,12.78,2219.44,14.996520042419434,2250.110149383545
2024-12-13 12:31:15,12.68,2219.44,14.992998123168945,2250.173807144165
2024-12-13 12:31:20,12.78,2219.44,14.994799613952637,2250.046491622925
2024-12-13 12:31:26,12.68,2209.67,14.989313125610352,2250.059127807617
2024-12-13 12:31:31,12.68,2209.67,14.997653007507324,2250.0431537628174
2024-12-13 12:31:36,12.68,2209.67,14.995526313781738,2250.016689300537
2024-12-13 12:31:41,12.68,2209.67,15.003114700317383,2249.9938011169434
2024-12-13 12:31:46,12.68,2209.67,15.004042625427246,2249.9589920043945
2024-12-13 12:31:51,12.68,2214.56,15.004651069641113,2249.9372959136963
2024-12-13 12:31:56,12.68,2212.12,15.005363464355469,2249.8741149902344
2024-12-13 12:32:01,12.78,2212.12,15.006824493408203,2249.861001968384
2024-12-13 12:32:06,12.68,2212.12,15.006558418273926,2249.964952468872
2024-12-13 12:32:11,12.78,2212.12,15.00725269317627,2249.8583793640137
2024-12-13 12:32:16,12.78,2221.88,15.009810447692871,2249.8939037323
2024-12-13 12:32:21,12.68,2212.12,15.007674217224121,2249.915838241577
2024-12-13 12:32:26,12.68,2212.12,15.008467674255371,2249.863862991333
2024-12-13 12:32:31,12.78,2221.88,15.001538276672363,2249.9043941497803
2024-12-13 12:32:36,12.68,2212.12,15.004453659057617,2249.8955726623535
2024-12-13 12:32:41,12.78,2221.88,15.004857063293457,2249.9032020568848
2024-12-13 12:32:46,12.68,2219.44,15.000462532043457,2249.9921321868896
2024-12-13 12:32:51,12.68,2212.12,14.999127388000488,2249.926805496216
2024-12-13 12:32:56,12.78,2212.12,14.999197959899902,2249.9918937683105
2024-12-13 12:33:01,12.68,2214.56,15.001121520996094,2250.014543533325
2024-12-13 12:33:06,12.78,2221.88,14.995341300964355,2250.12469291687
2024-12-13 12:33:11,12.68,2204.79,14.996602058410645,2250.0462532043457
2024-12-13 12:33:16,12.68,2212.12,14.991150856018066,2250.0877380371094
2024-12-13 12:33:21,12.78,2214.56,14.994803428649902,2250.0948905944824
